TeamId,TeamName,SubmissionDate,Score
22612,k_ha,"2012-09-02 06:25:48",0.96742
21878,nonlinsigproc,"2013-01-14 10:55:58",0.91114
21878,nonlinsigproc,"2013-02-12 00:02:29",0.91128
46459,bistaumanga,"2013-06-09 14:57:55",0.89657
46459,bistaumanga,"2013-06-09 15:04:11",0.90457
46459,bistaumanga,"2013-06-10 18:24:34",0.97428
58084,"Philip Stevens","2013-09-13 11:01:23",0.96485
58084,"Philip Stevens","2013-09-13 17:37:12",0.96800
69621,darorck,"2013-12-21 13:14:14",0.23685
77256,"Manuel Spierenburg","2014-02-17 19:53:36",0.97428
115019,kriyeng,"2014-08-30 20:58:25",0.85514
115019,kriyeng,"2014-08-30 22:35:20",0.91257
120522,"Kathakali Seth","2014-10-08 11:06:38",0.33414
120522,"Kathakali Seth","2014-10-08 12:03:27",0.46600
120522,"Kathakali Seth","2014-10-15 10:22:31",0.95642
120522,"Kathakali Seth","2014-10-15 11:43:38",0.96657
146278,PradeepKunwar,"2015-02-14 10:40:03",0.90900
146278,PradeepKunwar,"2015-02-14 14:02:52",0.94714
148103,Justfor,"2015-02-22 20:56:37",0.96400
152831,"泽映 彭","2015-03-09 12:35:07",0.92728
152831,"泽映 彭","2015-03-11 02:32:59",0.96942
154726,pfernandez,"2015-03-13 23:49:58",0.93928
154726,pfernandez,"2015-03-14 00:03:28",0.96628
154726,pfernandez,"2015-03-23 01:35:51",0.96728
154726,pfernandez,"2015-03-24 15:01:44",0.97871
120522,"Kathakali Seth","2015-05-14 10:51:37",0.96685
120522,"Kathakali Seth","2015-05-16 07:34:12",0.96700
120522,"Kathakali Seth","2015-05-16 07:48:26",0.97071
120522,"Kathakali Seth","2015-05-16 08:11:12",0.97342
120522,"Kathakali Seth","2015-05-16 09:52:19",0.97614
183495,Obaid,"2015-05-20 16:53:46",0.94228
183495,Obaid,"2015-05-20 17:05:55",0.94757
183495,Obaid,"2015-05-20 17:15:22",0.95757
183495,Obaid,"2015-05-20 23:17:14",0.96685
183495,Obaid,"2015-05-21 09:18:13",0.96728
183495,Obaid,"2015-05-21 10:57:17",0.96757
183495,Obaid,"2015-05-21 12:46:18",0.96785
186246,xvnv,"2015-05-30 13:49:21",0.93757
212877,"Ben Galvin","2015-08-31 19:24:52",0.96571
214194,"Jack Lee","2015-09-03 16:34:03",0.91428
214892,SindyTsang,"2015-09-09 05:01:56",0.93514
216643,"Gabriel S.Q.S. Fonseca","2015-09-12 05:48:23",0.93371
216643,"Gabriel S.Q.S. Fonseca","2015-09-12 05:59:18",0.94785
216643,"Gabriel S.Q.S. Fonseca","2015-09-12 15:47:48",0.96442
216643,"Gabriel S.Q.S. Fonseca","2015-09-12 18:08:03",0.96514
214892,SindyTsang,"2015-09-16 01:50:07",0.96257
218408,"Jorge Palma","2015-09-19 00:06:45",0.09942
218408,"Jorge Palma","2015-09-19 00:12:53",0.89757
218408,"Jorge Palma","2015-09-20 13:30:58",0.93400
218408,"Jorge Palma","2015-09-22 12:01:57",0.94485
218408,"Jorge Palma","2015-09-30 02:19:12",0.95200
183495,Obaid,"2015-10-03 09:24:08",0.96957
183495,Obaid,"2015-10-03 13:01:10",0.96985
183495,Obaid,"2015-10-06 15:26:31",0.97142
236305,Matt-Mac-Muffin,"2015-11-08 20:26:09",0.93514
241803,Ren,"2015-11-21 20:47:23",0.94771
241803,Ren,"2015-11-22 04:39:38",0.94914
241803,Ren,"2015-11-22 14:03:44",0.95100
148103,Justfor,"2016-01-10 17:31:06",0.96642
263599,viktordudas,"2016-01-14 14:56:46",0.97085
266887,shegokarm,"2016-01-24 02:16:57",0.10557
266887,shegokarm,"2016-01-24 12:03:58",0.10642
269586,KuanHoong,"2016-02-01 02:01:05",0.96514
274553,AshishDatta,"2016-02-11 03:49:24",0.91671
277905,chenxiao,"2016-02-18 10:26:37",0.95885
284770,meltingclock,"2016-03-02 09:16:45",0.96028
294796,"Dimitry Ageev","2016-03-21 20:42:13",0.79285
294796,"Dimitry Ageev","2016-03-21 21:01:56",0.96185
294796,"Dimitry Ageev","2016-03-22 04:09:39",0.98671
294796,"Dimitry Ageev","2016-03-22 09:08:30",0.98985
300834,"Siddhant Srivastava","2016-04-02 05:33:59",0.91600
300834,"Siddhant Srivastava","2016-04-02 06:04:46",0.96614
300834,"Siddhant Srivastava","2016-04-03 20:36:06",0.97414
296247,"Rohit 2","2016-04-05 18:28:15",0.96114
308333,markk,"2016-04-14 03:10:18",0.88828
308333,markk,"2016-04-14 18:57:36",0.93442
296247,"Rohit 2","2016-04-16 04:20:01",0.96271
317267,"Chad Bryant","2016-05-05 14:59:29",0.94242
317267,"Chad Bryant","2016-05-05 15:14:58",0.95314
317267,"Chad Bryant","2016-05-05 15:42:38",0.98657
317267,"Chad Bryant","2016-05-05 18:02:58",0.99142
317267,"Chad Bryant","2016-05-06 14:56:56",0.99285
317267,"Chad Bryant","2016-05-06 15:29:41",0.99328
317267,"Chad Bryant","2016-05-06 16:54:05",0.99442
326046,algorithmica1,"2016-05-18 02:57:46",0.09557
148103,Justfor,"2016-05-19 07:18:27",0.99328
148103,Justfor,"2016-05-19 16:04:29",0.99414
326046,algorithmica1,"2016-05-24 02:24:38",0.94485
148103,Justfor,"2016-05-31 04:59:30",0.99471
120522,"Kathakali Seth","2016-07-04 09:46:23",0.97871
351512,JP11,"2016-07-20 08:37:29",0.96414
352614,nubilum,"2016-07-24 05:37:03",0.10014
357994,"kireeti 2","2016-08-06 21:48:54",0.83114
357994,"kireeti 2","2016-08-13 17:00:15",0.91614
355802,Krybaby_7_9,"2016-09-07 22:02:57",0.96857
369570,jimmyjin,"2016-09-10 09:54:55",0.55342
369570,jimmyjin,"2016-09-10 10:03:33",0.94271
370150,NiranjanDeshpande,"2016-09-11 22:39:54",0.93514
370992,Raijisse,"2016-09-13 20:50:17",0.96628
326046,algorithmica1,"2016-09-15 02:38:25",0.96842
370150,NiranjanDeshpande,"2016-09-15 06:15:22",0.95042
372712,"Andy 3","2016-09-18 13:00:05",0.90500
372712,"Andy 3","2016-09-18 13:25:19",0.91042
241803,Ren,"2016-09-19 02:04:11",0.99057
372712,"Andy 3","2016-09-19 03:22:31",0.94071
241803,Ren,"2016-09-19 18:48:55",0.99100
372712,"Andy 3","2016-09-21 03:42:33",0.94128
370992,Raijisse,"2016-09-21 21:50:13",0.96800
370992,Raijisse,"2016-09-24 10:58:28",0.97114
378181,DmitriiSergeev,"2016-10-01 08:40:05",0.76500
370150,NiranjanDeshpande,"2016-10-02 06:52:39",0.95200
378181,DmitriiSergeev,"2016-10-05 20:30:18",0.96871
386494,"Andrew Chiu","2016-10-14 03:49:37",0.97214
386494,"Andrew Chiu","2016-10-14 03:54:52",0.97657
394915,"Bohdan Bobyl","2016-10-28 13:14:26",0.95985
394915,"Bohdan Bobyl","2016-10-28 13:31:36",0.96914
394915,"Bohdan Bobyl","2016-10-28 16:39:18",0.96971
406745,"Oleg Tereshkin","2016-11-16 18:49:23",0.95242
406745,"Oleg Tereshkin","2016-11-18 13:40:44",0.96114
